Tag,species,CensusID,DBH,ExactDate,TrueStemID,RowID,Bio_Mu_Growth,Bio_Gamma_Growth,Bio_Sigma0_Growth,Bio_Sigma1_Growth,Bio_Max_Shrink,Bio_K_Shrink,Bio_Max_Growth,Bio_Max_Growth_Soft,Bio_K_Growth,Bio_H0_Mortality,Bio_Beta_Mortality,Bio_Recruit_Meanlog,Bio_Recruit_Sdlog,Bio_Recruit_MaxDBH_unit,Bio_Recruitment_lambda,ReconstructionMethod,DP_MaxStatesPerCensus,DP_MaxStatesCensusID,DP_KUsed,DP_PosteriorTop1ID,DP_PosteriorTop1Prob,DP_PosteriorTop2ID,DP_PosteriorTop2Prob,DP_PosteriorEntropy,DP_PosteriorReconstructedProb,DP_PosteriorUnlinkedProb,obs_row_id,ReconstructedStemID,ConstraintViolation
1,sp,1,10,2000-01-01,,1,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,dp,6,1,3,1,1,2,0,0,1,0,1,1,
1,sp,1,20,2000-01-01,,2,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,dp,6,1,3,2,1,1,0,0,1,0,2,2,
1,sp,2,11,2000-12-31,,3,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,dp,6,1,3,1,1,2,0,0,1,0,3,1,
1,sp,2,21,2000-12-31,,4,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,dp,6,1,3,2,1,1,0,0,1,0,4,2,
1,sp,3,12,2001-12-31,,5,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,dp,6,1,3,1,1,2,0,0,1,0,5,1,
1,sp,3,22,2001-12-31,,6,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,dp,6,1,3,2,1,1,0,0,1,0,6,2,
1,sp,4,13,2002-12-31,1,7,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,given,6,1,3,1,1,2,0,0,1,0,7,1,
1,sp,4,23,2002-12-31,2,8,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,given,6,1,3,2,1,1,0,0,1,0,8,2,
1,sp,7,,2005-12-30,,9,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,,6,1,3,,,,,,,,9,,
1,sp,7,,2005-12-30,,10,0.5,0,0.1,0,-5,0,50,50,0,0.01,0,1.6094379124341,0.5,10,0.1,,6,1,3,,,,,,,,10,,
